,0
0,0.023
1,0.218
2,0.092
3,0.098
4,0.203
5,0.262
6,0.142
7,0.15
8,0.034
9,0.244
10,2.88
11,0.057
12,0.13
13,0.093
14,0.228
15,0.122
16,0.055
17,0.049
18,0.031
19,0.023
20,2.206
21,0.244
22,0.151
23,0.265
24,0.276
25,0.038
26,0.171
27,0.282
28,2.074
29,0.184
30,0.281
31,0.013
32,0.21
33,1.168
34,0.039
35,0.17
36,0.187
37,0.275
38,0.127
39,0.096
40,0.193
41,0.041
42,0.131
43,0.182
44,0.269
45,0.156
46,0.202
47,0.088
48,0.074
49,0.049
50,0.262
51,0.075
52,0.004
53,0.163
54,0.263
55,0.164
56,0.043
57,0.189
58,0.189
59,0.005
60,0.21
61,0.155
62,0.032
63,0.039
64,0.162
65,0.04
66,0.243
67,0.07
68,1.801
69,0.315
70,2.986
71,0.144
72,0.03
73,0.302
74,0.104
75,0.047
76,0.15
77,0.893
78,0.144
79,0.819
80,0.196
81,0.081
82,0.167
83,0.068
84,0.222
85,0.072
86,0.034
87,0.185
88,0.016
89,0.235
90,0.146
91,0.303
92,0.27
93,0.011
94,0.18
95,0.136
96,0.146
97,0.158
98,0.199
99,0.205
100,1.157
101,0.243
102,0.074
103,0.141
104,0.014
105,0.07
106,0.142
107,0.077
108,0.124
109,0.103
110,0.123
111,0.261
112,1.523
113,1.549
114,0.137
115,2.635
116,0.183
117,2.421
118,0.275
119,0.228
120,0.226
121,0.231
122,0.024
123,0.296
124,0.233
125,0.162
126,0.122
127,2.431
128,0.337
129,0.366
130,0.319
131,0.109
132,0.354
133,0.077
134,0.124
135,0.292
136,0.022
137,0.266
138,0.161
139,0.159
140,0.047
141,0.142
142,0.072
143,0.134
144,0.159
145,0.136
146,2.822
147,0.294
148,0.174
149,0.184
150,0.032
151,0.186
152,0.17
153,0.181
154,0.136
155,0.183
156,0.416
157,0.257
158,0.157
159,0.219
160,0.211
161,0.183
162,0.163
163,1.242
164,0.092
165,0.167
166,0.008
167,0.014
168,0.251
169,0.307
170,0.275
171,0.252
172,1.486
173,0.081
174,0.072
175,0.017
176,0.138
177,0.146
178,0.206
179,0.199
180,0.073
181,0.183
182,0.236
183,0.007
184,0.099
185,0.099
186,0.113
187,0.035
188,1.484
189,0.033
190,0.321
191,0.035
192,0.071
193,0.021
194,0.307
195,0.033
196,3.1
197,0.164
198,0.027
199,0.105
200,0.216
201,0.086
202,0.153
203,0.129
204,0.272
205,0.173
206,0.175
207,0.201
208,0.016
209,0.2
210,1.266
211,0.356
212,0.202
213,0.26
214,0.301
215,0.193
216,0.242
217,0.083
218,0.117
219,0.219
220,0.108
221,0.192
222,0.082
223,0.367
224,0.214
225,0.258
226,0.164
