,0
0,0.065
1,0.295
2,0.109
3,0.157
4,0.245
5,0.057
6,0.264
7,0.119
8,0.157
9,0.249
10,0.164
11,0.099
12,0.158
13,0.269
14,0.083
15,2.242
16,0.168
17,0.004
18,0.133
19,0.032
20,0.174
21,0.163
22,0.181
23,0.065
24,0.183
25,0.014
26,0.269
27,0.25
28,0.129
29,0.21
30,0.134
31,0.2
32,2.924
33,0.094
34,0.03
35,0.143
36,0.214
37,0.231
38,1.481
39,0.237
40,0.24
41,0.099
42,0.002
43,0.248
44,0.308
45,0.069
46,0.079
47,0.1
48,0.151
49,0.186
50,0.07
51,0.044
52,0.124
53,0.031
54,0.11
55,0.271
56,0.217
57,0.194
58,0.005
59,0.259
60,0.043
61,0.009
62,0.182
63,0.272
64,0.013
65,0.173
66,0.166
67,1.484
68,0.177
69,0.241
70,0.087
71,0.226
72,0.294
73,0.078
74,0.204
75,0.05
76,0.049
77,0.117
78,0.188
79,0.618
80,0.193
81,0.053
82,0.142
83,0.055
84,0.02
85,0.125
86,0.126
87,0.034
88,0.128
89,0.136
90,0.103
91,0.012
92,0.121
93,1.369
94,0.351
95,0.04
96,0.173
97,0.111
98,0.023
99,0.033
100,0.195
101,0.038
102,0.246
103,0.332
104,1.984
105,0.202
106,0.223
107,0.11
108,0.226
109,0.237
110,0.042
111,0.01
112,0.004
113,0.072
114,0.048
115,2.479
116,0.195
117,2.668
118,0.281
119,0.269
120,0.123
121,0.107
122,1.889
123,2.558
124,0.032
125,0.142
126,2.703
127,0.007
128,0.164
129,2.369
130,0.221
131,0.03
132,0.294
133,0.251
134,0.178
135,0.098
136,0.076
137,0.009
138,2.703
139,0.144
140,0.2
141,0.219
142,0.093
143,0.087
144,0.19
145,0.263
146,0.055
147,0.242
148,0.128
149,0.101
150,0.032
151,0.252
152,0.157
153,1.49
154,0.045
155,0.144
156,0.906
157,0.276
158,1.684
159,0.028
160,0.094
161,0.162
162,0.249
163,0.04
164,0.087
165,0.077
166,0.139
167,0.013
168,0.047
169,0.156
170,0.213
171,0.029
172,0.305
173,0.194
174,0.23
175,0.331
176,0.236
177,0.257
178,0.195
179,0.128
180,0.051
181,0.253
182,0.273
183,0.276
184,0.207
185,0.118
186,0.217
187,0.041
188,0.284
189,1.864
190,0.831
191,0.146
192,1.147
193,0.796
194,0.049
195,0.132
196,0.147
197,0.212
198,0.207
199,0.167
200,1.217
201,0.205
202,0.083
203,0.247
204,0.057
205,0.192
206,0.027
207,0.112
208,0.028
209,0.154
210,2.596
211,0.086
212,2.609
213,0.336
214,0.352
215,0.05
216,0.175
217,0.035
218,2.21
219,0.172
220,0.208
221,0.29
222,0.068
223,0.152
224,0.106
225,0.1
226,0.081
227,0.138
228,0.098
229,0.051
230,0.174
231,0.249
232,0.059
233,0.13
234,0.212
235,0.067
236,0.268
237,0.07
238,0.049
239,0.217
240,0.155
241,0.208
242,0.177
243,0.238
244,2.571
245,2.093
246,0.175
247,0.216
248,0.008
249,0.106
250,0.171
251,0.029
252,0.071
253,0.053
254,0.232
255,0.036
256,0.185
257,0.118
258,0.017
259,0.336
260,0.196
261,0.09
262,0.214
263,0.182
264,0.258
265,0.111
266,0.274
267,0.192
268,0.283
269,0.226
270,0.073
271,0.322
272,0.268
273,0.202
274,0.218
275,0.029
276,0.419
277,0.169
278,0.043
279,0.008
280,0.236
281,0.13
282,0.11
283,0.125
284,0.14
285,0.148
286,0.216
287,1.975
288,2.321
289,0.037
290,0.019
291,2.952
292,0.186
293,0.013
294,0.025
295,0.19
296,0.147
297,0.361
298,0.235
299,0.024
300,0.037
301,0.355
302,0.752
303,1.91
304,0.136
305,0.021
306,0.256
307,0.025
308,2.297
309,0.263
310,2.762
311,2.122
312,0.196
313,2.325
314,0.128
315,0.112
316,0.189
317,0.146
318,0.26
319,0.135
320,0.292
321,2.238
322,0.089
323,0.185
324,0.21
325,0.057
326,0.233
327,0.028
328,0.051
329,0.167
330,0.263
331,0.254
332,0.203
333,0.266
334,0.291
335,0.084
336,0.043
337,0.017
338,0.044
339,2.935
340,0.223
341,0.143
342,0.216
343,0.353
344,0.128
345,0.185
346,0.097
347,0.27
348,0.02
349,0.066
350,2.315
351,0.228
352,1.202
353,0.046
354,0.084
355,0.271
356,0.037
357,0.074
358,0.358
359,0.23
360,0.282
361,0.216
362,0.093
363,0.249
364,0.532
365,0.085
366,0.177
367,0.043
368,0.206
369,0.119
370,0.256
371,0.249
372,0.163
373,0.186
374,0.1
375,0.047
376,0.138
377,0.014
378,0.155
379,0.15
380,0.219
381,0.25
382,0.125
383,0.308
384,0.006
385,0.002
386,0.177
387,0.041
388,0.062
389,0.183
390,0.176
391,2.898
392,0.263
393,0.11
394,0.054
395,0.117
396,0.158
397,1.722
398,0.271
399,0.19
400,0.097
401,0.055
402,0.059
403,0.24
404,0.237
405,2.145
406,0.264
407,0.217
408,0.216
409,0.217
410,0.021
411,0.15
412,0.255
413,0.2
414,0.25
415,0.129
416,0.238
417,0.021
418,0.16
419,0.115
420,0.133
421,0.116
422,0.026
423,0.098
424,0.114
425,0.144
426,0.196
427,1.973
428,2.308
429,0.131
430,0.349
431,0.239
432,1.504
433,2.058
434,0.086
435,0.111
436,0.117
437,0.207
438,0.222
439,1.029
440,0.263
441,0.153
442,0.136
443,0.275
444,0.149
445,0.002
446,1.895
447,0.264
448,0.186
449,0.148
450,0.043
451,0.287
452,0.115
453,0.18
454,0.36
455,0.129
456,0.193
457,0.248
458,0.175
459,0.228
460,0.078
461,0.068
462,0.203
463,0.237
464,0.125
465,0.663
466,0.195
467,0.307
468,0.094
469,0.013
470,0.358
471,1.494
472,0.328
473,0.171
474,0.116
